dbName; idRun; tableORqueryName; nbJoinFD; algoName; totalTime (s); maxMem (Mo); algo1Time (s); algo2Time (s); algo3Time (s); nbUpstagedFDs; nbInferFDs; nbMinedFDs
PTC; 4; "atom|X|molecule"; 4; InFine; 0.031; 3; 0; 0; 0; 3; 1; 0
PTC; 5; "atom|X|molecule"; 4; InFine; 0.031; 2; 0; 0; 0; 3; 1; 0
PTC; 6; "atom|X|molecule"; 4; InFine; 0.031; 3; 0; 0; 0.015; 3; 1; 0
PTC; 7; "atom|X|molecule"; 4; InFine; 0.015; 3; 0; 0; 0; 3; 1; 0
PTC; 8; "atom|X|molecule"; 4; InFine; 0.031; 2; 0; 0; 0; 3; 1; 0
PTC; 9; "atom|X|molecule"; 4; InFine; 0.031; 3; 0; 0; 0; 3; 1; 0
PTC; 10; "atom|X|molecule"; 4; InFine; 0.015; 2; 0; 0; 0; 3; 1; 0
PTC; 1; "connected|X|bond"; 8; InFine; 0.093; 12; 0; 0; 0; 5; 3; 0
PTC; 2; "connected|X|bond"; 8; InFine; 0.093; 13; 0; 0; 0; 5; 3; 0
PTC; 3; "connected|X|bond"; 8; InFine; 0.109; 13; 0; 0; 0; 5; 3; 0
PTC; 4; "connected|X|bond"; 8; InFine; 0.109; 12; 0; 0; 0; 5; 3; 0
PTC; 5; "connected|X|bond"; 8; InFine; 0.109; 12; 0; 0; 0; 5; 3; 0
PTC; 6; "connected|X|bond"; 8; InFine; 0.109; 11; 0; 0; 0.015; 5; 3; 0
PTC; 7; "connected|X|bond"; 8; InFine; 0.093; 10; 0; 0; 0; 5; 3; 0
PTC; 8; "connected|X|bond"; 8; InFine; 0.109; 11; 0; 0; 0; 5; 3; 0
PTC; 9; "connected|X|bond"; 8; InFine; 0.109; 12; 0; 0; 0; 5; 3; 0
PTC; 10; "connected|X|bond"; 8; InFine; 0.109; 12; 0.015; 0; 0; 5; 3; 0
PTC; 1; "[connected|X|bond]|X|molecule"; 12; InFine; 0.078; 9; 0; 0; 0; 9; 3; 0
PTC; 2; "[connected|X|bond]|X|molecule"; 12; InFine; 0.062; 10; 0; 0; 0; 9; 3; 0
PTC; 3; "[connected|X|bond]|X|molecule"; 12; InFine; 0.078; 10; 0; 0; 0; 9; 3; 0
PTC; 4; "[connected|X|bond]|X|molecule"; 12; InFine; 0.062; 8; 0; 0; 0; 9; 3; 0
PTC; 5; "[connected|X|bond]|X|molecule"; 12; InFine; 0.078; 8; 0; 0; 0; 9; 3; 0
PTC; 6; "[connected|X|bond]|X|molecule"; 12; InFine; 0.078; 8; 0; 0; 0.015; 9; 3; 0
PTC; 7; "[connected|X|bond]|X|molecule"; 12; InFine; 0.062; 9; 0; 0; 0; 9; 3; 0
PTC; 8; "[connected|X|bond]|X|molecule"; 12; InFine; 0.078; 7; 0; 0; 0.015; 9; 3; 0
PTC; 9; "[connected|X|bond]|X|molecule"; 12; InFine; 0.062; 5; 0; 0; 0; 9; 3; 0
PTC; 10; "[connected|X|bond]|X|molecule"; 12; InFine; 0.078; 6; 0; 0; 0; 9; 3; 0
PTC; 1; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.109; 12; 0; 0; 0.015; 7; 5; 0
PTC; 2; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 13; 0; 0; 0; 7; 5; 0
PTC; 3; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 11; 0; 0; 0; 7; 5; 0
PTC; 4; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 11; 0.015; 0; 0; 7; 5; 0
PTC; 5; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 11; 0; 0; 0; 7; 5; 0
PTC; 6; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 9; 0.015; 0; 0; 7; 5; 0
PTC; 7; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.109; 10; 0; 0; 0.015; 7; 5; 0
PTC; 8; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 10; 0; 0; 0; 7; 5; 0
PTC; 9; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.109; 11; 0; 0; 0.015; 7; 5; 0
PTC; 10; "connected|X|id1_[atom|X|molecule]"; 12; InFine; 0.093; 11; 0; 0; 0; 7; 5; 0
MIMIC3; 1; "diagnoses_icd|X|patients"; 22; InFine; 4.453; 738; 0; 0; 2.25; 13; 6; 3
MIMIC3; 2; "diagnoses_icd|X|patients"; 22; InFine; 4.546; 735; 0; 0; 2.343; 13; 6; 3
MIMIC3; 3; "diagnoses_icd|X|patients"; 22; InFine; 4.484; 734; 0; 0; 2.281; 13; 6; 3
MIMIC3; 4; "diagnoses_icd|X|patients"; 22; InFine; 4.515; 733; 0; 0; 2.343; 13; 6; 3
MIMIC3; 5; "diagnoses_icd|X|patients"; 22; InFine; 4.484; 733; 0; 0; 2.296; 13; 6; 3
MIMIC3; 6; "diagnoses_icd|X|patients"; 22; InFine; 4.468; 732; 0; 0; 2.281; 13; 6; 3
MIMIC3; 7; "diagnoses_icd|X|patients"; 22; InFine; 4.546; 732; 0; 0; 2.359; 13; 6; 3
MIMIC3; 8; "diagnoses_icd|X|patients"; 22; InFine; 4.484; 731; 0.015; 0; 2.312; 13; 6; 3
MIMIC3; 9; "diagnoses_icd|X|patients"; 22; InFine; 4.5; 731; 0; 0; 2.312; 13; 6; 3
MIMIC3; 10; "diagnoses_icd|X|patients"; 22; InFine; 4.531; 730; 0; 0; 2.343; 13; 6; 3
MIMIC3; 1; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.078; 295; 0; 0; 0.359; 4; 0; 8
MIMIC3; 2; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.078; 306; 0; 0; 0.359; 4; 0; 8
MIMIC3; 3; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.078; 304; 0; 0; 0.343; 4; 0; 8
MIMIC3; 4; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.046; 302; 0; 0; 0.328; 4; 0; 8
MIMIC3; 5; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.078; 299; 0; 0; 0.375; 4; 0; 8
MIMIC3; 6; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.062; 297; 0; 0; 0.328; 4; 0; 8
MIMIC3; 7; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.062; 292; 0; 0; 0.359; 4; 0; 8
MIMIC3; 8; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.046; 293; 0; 0; 0.328; 4; 0; 8
MIMIC3; 9; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.093; 297; 0; 0; 0.359; 4; 0; 8
MIMIC3; 10; "d_icd_diagnoses|X|diagnoses_icd"; 12; InFine; 2.078; 292; 0; 0; 0.359; 4; 0; 8
MIMIC3; 1; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.312; 1890; 0; 0; 6.078; 24; 0; 20
MIMIC3; 2; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.234; 1888; 0; 0; 6.125; 24; 0; 20
MIMIC3; 3; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.265; 1892; 0; 0; 6.156; 24; 0; 20
MIMIC3; 4; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 10.968; 1877; 0; 0; 5.937; 24; 0; 20
MIMIC3; 5; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 10.89; 1990; 0; 0; 5.859; 24; 0; 20
MIMIC3; 6; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 10.89; 1986; 0; 0; 5.875; 24; 0; 20
MIMIC3; 7; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.468; 1990; 0; 0; 6.281; 24; 0; 20
MIMIC3; 8; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.609; 1990; 0; 0; 6.39; 24; 0; 20
MIMIC3; 9; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.5; 1829; 0; 0; 6.359; 24; 0; 20
MIMIC3; 10; "[diagnosesicd|X|patients]|X|dicddiagnoses"; 44; InFine; 11.421; 1824; 0; 0; 6.265; 24; 0; 20
MIMIC3; 1; "patients|X|admissions"; 16; InFine; 0.265; 40; 0; 0; 0.031; 9; 0; 7
MIMIC3; 2; "patients|X|admissions"; 16; InFine; 0.265; 37; 0; 0; 0.015; 9; 0; 7
MIMIC3; 3; "patients|X|admissions"; 16; InFine; 0.265; 36; 0; 0; 0.031; 9; 0; 7
MIMIC3; 4; "patients|X|admissions"; 16; InFine; 0.265; 36; 0; 0; 0.015; 9; 0; 7
